"Manuscript H-ID",nomNotice,"CartulR Entity ID","iiif manifest"
658,"Archives municipales de Senlis, AA 009",12313,https://bvmm.irht.cnrs.fr/iiif/33756/manifest
764,"Archives départementales de la Côte-d'Or, B 10423* (Cart 1*)",21435,https://bvmm.irht.cnrs.fr/iiif/32741/manifest
810,"Archives départementales du Calvados, Bibl. du chapitre de Bayeux 0180",21477,https://bvmm.irht.cnrs.fr/iiif/31700/manifest
811,"Archives départementales du Calvados, Bibl. du chapitre de Bayeux 0193",21478,https://bvmm.irht.cnrs.fr/iiif/31701/manifest
813,"Archives départementales de l'Aube, H(003) 4001",12327,https://bvmm.irht.cnrs.fr/iiif/33834/manifest
890,"Bibliothèque nationale de France, nouv. acq. lat. 2483",21549,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100347603/manifest.json
902,"Bibliothèque nationale de France, lat. 09904",12335,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100386370/manifest.json
911,"Archives départementales des Pyrénées-Orientales, H 0143",21568,https://bvmm.irht.cnrs.fr/iiif/33514/manifest
913,"Archives départementales de Meurthe-et-Moselle, B 0477",12336,https://bvmm.irht.cnrs.fr/iiif/32955/manifest
918,"Bibliothèque nationale de France, lat. 05288",21574,https://gallica.bnf.fr/iiif/ark:/12148/btv1b85722454/manifest.json
959,"Archives hospitalières de Châteaudun, A 0003",21610,https://bvmm.irht.cnrs.fr/iiif/31890/manifest
960,"Archives hospitalières de Châteaudun, A 0004",21611,https://bvmm.irht.cnrs.fr/iiif/31891/manifest
961,"Archives hospitalières de Châteaudun, A 0005",21612,https://bvmm.irht.cnrs.fr/iiif/31892/manifest
962,"Archives hospitalières de Châteaudun, A 0006",21613,https://bvmm.irht.cnrs.fr/iiif/31893/manifest
1066,"Archives départementales de la Gironde, H 0006",21708,https://bvmm.irht.cnrs.fr/iiif/31623/manifest
1091,"Bibliothèque nationale de France, nouv. acq. fr. 01122",12352,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10089351w/manifest.json
1095,"Archives départementales des Vosges, G 0393, pièce n° 1",21733,https://bvmm.irht.cnrs.fr/iiif/33067/manifest
1097,"Archives départementales des Pyrénées-Atlantiques, E Suppl. 1370bis",21735,https://bvmm.irht.cnrs.fr/iiif/31311/manifest
1102,"Centre historique des Archives nationales, LL 0077",12353,https://bvmm.irht.cnrs.fr/iiif/33632/manifest
1180,"Archives départementales de la Côte-d'Or, H(011) 0069* (cart. 172)",12360,https://bvmm.irht.cnrs.fr/iiif/32783/manifest
1214,"Archives départementales de la Côte-d'Or, H(111) 1180",21840,https://bvmm.irht.cnrs.fr/iiif/32761/manifest
1246,"Bisschoppelijk Archief (Archives de l'Evêché), Y 283",12366,https://bvmm.irht.cnrs.fr/iiif/31665/manifest
1348,"Archives départementales de Maine-et-Loire, H 3714",21961,https://bvmm.irht.cnrs.fr/iiif/1333/manifest
1353,"Bibliothèque nationale de France, lat. 3851A",21966,https://gallica.bnf.fr/iiif/ark:/12148/btv1b85721948/manifest.json
1355,"Bibliothèque nationale de France, lat. 11006",21968,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9068308s/manifest.json
1401,"Archives départementales de la Gironde, J(004) 0073",11417,https://bvmm.irht.cnrs.fr/iiif/31620/manifest
1424,"Bibliothèque nationale de France, lat. 10101",12382,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100367975/manifest.json
1428,"Archives départementales de la Côte-d'Or, H(011) 0079* (cart. 174)",22033,https://bvmm.irht.cnrs.fr/iiif/32786/manifest
1429,"Archives départementales de la Côte-d'Or, H(011) 0080* (cart. 178)",22034,https://bvmm.irht.cnrs.fr/iiif/32785/manifest
1455,"Archives départementales du Pas-de-Calais, H dépôt 1/5/7  A 1",22058,https://bvmm.irht.cnrs.fr/iiif/31953/manifest
1456,"Archives départementales du Pas-de-Calais, H dépôt 1/1 B 54",22059,https://bvmm.irht.cnrs.fr/iiif/31952/manifest
1495,"Archives municipales de Saint-Omer, G(002) 0054",22094,https://bvmm.irht.cnrs.fr/iiif/31921/manifest
1497,"Bibliothèque nationale de France, nouv. acq. lat. 1359",22096,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525017061/manifest.json
1501,"Bibliothèque municipale de Tonnerre, 0031 (31)",12391,https://bvmm.irht.cnrs.fr/iiif/33777/manifest
1510,"Bibliothèque nationale de France, fr. 11988",11419,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90632952/manifest.json
1511,"Bibliothèque municipale de Bayeux, 0003",12400,https://bvmm.irht.cnrs.fr/iiif/31555/manifest
1514,"Archives départementales de l'Aube, H(020) 0014",12403,https://bvmm.irht.cnrs.fr/iiif/33836/manifest
