"Manuscript H-ID",nomNotice,"CartulR Entity ID","iiif manifest"
622,"Centre historique des Archives nationales, LL 0496",11311,https://bvmm.irht.cnrs.fr/iiif/33555/manifest
623,"Bibliothèque nationale de France, lat. 12696",11320,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105212948/manifest.json
625,"Archives départementales de l'Hérault, G 0020*",12310,https://bvmm.irht.cnrs.fr/iiif/32695/manifest
636,"Bibliothèque municipale de Montpellier, 0033",12311,https://bvmm.irht.cnrs.fr/iiif/33411/manifest
652,"Bibliothèque nationale de France, fr. 16188",21334,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90616255/manifest.json
658,"Archives municipales de Senlis, AA 009",12313,https://bvmm.irht.cnrs.fr/iiif/33756/manifest
666,"Bibliothèque nationale de France, lat. 12664",21347,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10334798r/manifest.json
684,"Bibliothèque nationale de France, nouv. acq. lat. 2473",21363,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100841484/manifest.json
695,"Bibliothèque nationale de France, Coll. Doat 064",21373,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10035059d/manifest.json
724,"Archives départementales des Bouches-du-Rhône, H(001) 1124",12319,https://bvmm.irht.cnrs.fr/iiif/33018/manifest
734,"Bibliothèque nationale de France, nouv. acq. lat. 1428",21409,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034637m/manifest.json
745,"Bibliothèque nationale de France, nouv. acq. fr. 20219",21418,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52501002k/manifest.json
764,"Archives départementales de la Côte-d'Or, B 10423* (Cart 1*)",21435,https://bvmm.irht.cnrs.fr/iiif/32741/manifest
766,"Bibliothèque nationale de France, Coll. Baluze 038",21437,https://gallica.bnf.fr/iiif/ark:/12148/btv1b107216626/manifest.json
767,"Bibliothèque nationale de France, Coll. Moreau 0001",21438,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034230z/manifest.json
768,"Bibliothèque municipale de Remiremont, 0017",21439,https://bvmm.irht.cnrs.fr/iiif/33214/manifest
771,"Bibliothèque nationale de France, Coll. Périgord 033",21441,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034908z/manifest.json|https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034909d/manifest.json
787,"Bibliothèque nationale de France, lat. 05441 (1)",21456,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9078411w/manifest.json
807,"Bibliothèque nationale de France, lat. 12662",21474,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53069060n/manifest.json
810,"Archives départementales du Calvados, Bibl. du chapitre de Bayeux 0180",21477,https://bvmm.irht.cnrs.fr/iiif/31700/manifest
811,"Archives départementales du Calvados, Bibl. du chapitre de Bayeux 0193",21478,https://bvmm.irht.cnrs.fr/iiif/31701/manifest
813,"Archives départementales de l'Aube, H(003) 4001",12327,https://bvmm.irht.cnrs.fr/iiif/33834/manifest
818,"Bibliothèque nationale de France, fr. 04901",21484,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90074604/manifest.json
838,"Bibliothèque municipale de Poitiers, 0558",21502,https://bvmm.irht.cnrs.fr/iiif/33648/manifest
845,"Bibliothèque nationale de France, fr. 22325",21509,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9062973k/manifest.json
847,"Archives départementales de la Marne, H(072) 0002/5",12330,https://bvmm.irht.cnrs.fr/iiif/31791/manifest
854,"Bibliothèque nationale de France, lat. 13816",21516,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10509409p/manifest.json
883,"Bibliothèque nationale de France, Coll. Baluze 087",21542,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10721843k/manifest.json
890,"Bibliothèque nationale de France, nouv. acq. lat. 2483",21549,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100347603/manifest.json
902,"Bibliothèque nationale de France, lat. 09904",12335,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100386370/manifest.json
905,"Bibliothèque nationale de France, lat. 12769",21562,https://gallica.bnf.fr/iiif/ark:/12148/btv1b103156820/manifest.json
911,"Archives départementales des Pyrénées-Orientales, H 0143",21568,https://bvmm.irht.cnrs.fr/iiif/33514/manifest
913,"Archives départementales de Meurthe-et-Moselle, B 0477",12336,https://bvmm.irht.cnrs.fr/iiif/32955/manifest
914,"Archives départementales des Pyrénées-Orientales, H 0160",21570,https://bvmm.irht.cnrs.fr/iiif/33515/manifest
916,"Bibliothèque nationale de France, lat. 11926",21572,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10039106r/manifest.json
918,"Bibliothèque nationale de France, lat. 05288",21574,https://gallica.bnf.fr/iiif/ark:/12148/btv1b85722454/manifest.json
921,"Bibliothèque municipale de Rennes, 0272",21577,https://bvmm.irht.cnrs.fr/iiif/33435/manifest
924,"Bibliothèque nationale de France, Coll. Dom Housseau 012",12337,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034056q/manifest.json|https://gallica.bnf.fr/iiif/ark:/12148/btv1b100340664/manifest.json
935,"Archives départementales de Maine-et-Loire, H(039) 0011",12338,https://bvmm.irht.cnrs.fr/iiif/1220/manifest
939,"Archives départementales de l'Hérault, G 0055*",21593,https://bvmm.irht.cnrs.fr/iiif/32697/manifest
940,"Archives départementales de l'Hérault, G 0277",21594,https://bvmm.irht.cnrs.fr/iiif/32698/manifest
941,"Archives départementales de la Vienne, H(001) 0001, liasse 1",21595,https://bvmm.irht.cnrs.fr/iiif/33487/manifest
942,"Archives départementales de la Vienne, H(001) 0003",21596,https://bvmm.irht.cnrs.fr/iiif/33490/manifest
944,"Bibliothèque municipale de La Rochelle, 1562",21598,https://bvmm.irht.cnrs.fr/iiif/33392/manifest
945,"Bibliothèque municipale de La Rochelle, 1563",21599,https://bvmm.irht.cnrs.fr/iiif/33393/manifest
947,"Bibliothèque municipale de La Rochelle, 0457",21600,https://bvmm.irht.cnrs.fr/iiif/33390/manifest
948,"Bibliothèque municipale de La Rochelle, 0841",21601,https://bvmm.irht.cnrs.fr/iiif/33395/manifest
949,"Bibliothèque municipale de Rouen, suppl. 1022 (mm 090.1)",21602,https://bvmm.irht.cnrs.fr/iiif/33447/manifest
951,"Bibliothèque municipale de Rouen, suppl. 0814 (mm 032, t. 1)",21604,https://bvmm.irht.cnrs.fr/iiif/33445/manifest
952,"Bibliothèque municipale de Rouen, suppl. 0815 (mm 032, t. 2))",21605,https://bvmm.irht.cnrs.fr/iiif/33446/manifest
954,"Archives municipales de Chartres, non coté, vol. 1",21607,https://bvmm.irht.cnrs.fr/iiif/31846/manifest
955,"Archives municipales de Chartres, non coté, vol. 2",21608,https://bvmm.irht.cnrs.fr/iiif/31847/manifest
959,"Archives hospitalières de Châteaudun, A 0003",21610,https://bvmm.irht.cnrs.fr/iiif/31890/manifest
960,"Archives hospitalières de Châteaudun, A 0004",21611,https://bvmm.irht.cnrs.fr/iiif/31891/manifest
961,"Archives hospitalières de Châteaudun, A 0005",21612,https://bvmm.irht.cnrs.fr/iiif/31892/manifest
962,"Archives hospitalières de Châteaudun, A 0006",21613,https://bvmm.irht.cnrs.fr/iiif/31893/manifest
969,"Bibliothèque nationale de France, lat. 12702",12341,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10522222t/manifest.json
991,"Bibliothèque nationale de France, Coll. Dom Housseau 012",12343,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034056q/manifest.json|https://gallica.bnf.fr/iiif/ark:/12148/btv1b100340664/manifest.json
1002,"Bibliothèque nationale de France, Coll. Dom Housseau 001",12344,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10035549w/manifest.json
1005,"Bisschoppelijk Archief (Archives de l'Evêché), 0283",21652,https://bvmm.irht.cnrs.fr/iiif/31665/manifest
1011,"Archives générales du Royaume, Ms divers 5169",21658,https://bvmm.irht.cnrs.fr/iiif/31667/manifest
1013,"Bibliothèque nationale de France, Coll. Duchesne 022",12345,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9001124c/manifest.json
1049,"Bibliothèque nationale de France, Coll. Périgord 012",21692,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034987t/manifest.json
1050,"Bibliothèque nationale de France, fr. 22326",21693,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90631504/manifest.json
1054,"Bibliothèque nationale de France, Coll. Périgord 033",21697,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034908z/manifest.json|https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034909d/manifest.json
1066,"Archives départementales de la Gironde, H 0006",21708,https://bvmm.irht.cnrs.fr/iiif/31623/manifest
1071,"Bibliothèque nationale de France, lat. 12771",21711,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329503f/manifest.json
1072,"Bibliothèque nationale de France, Coll. Perigord 034",21712,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034910s/manifest.json|https://gallica.bnf.fr/iiif/ark:/12148/btv1b100349117/manifest.json
1080,"Archives départementales de la Mayenne, H 0204",12351,https://bvmm.irht.cnrs.fr/iiif/32835/manifest
1083,"Bibliothèque nationale de France, lat. 09937",21722,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10037087f/manifest.json
1084,"Bibliothèque nationale de France, Coll. Perigord 004",21723,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100354643/manifest.json
1085,"Bibliothèque nationale de France, Coll. Périgord 012",21724,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034987t/manifest.json
1086,"Bibliothèque nationale de France, Coll. Périgord 033",21725,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034908z/manifest.json|https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034909d/manifest.json
1087,"Bibliothèque nationale de France, lat. 12678",21726,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105105973/manifest.json
1091,"Bibliothèque nationale de France, nouv. acq. fr. 01122",12352,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10089351w/manifest.json
1093,"Archives départementales de l'Hérault, H(013) 0003",21731,https://bvmm.irht.cnrs.fr/iiif/32727/manifest
1095,"Archives départementales des Vosges, G 0393, pièce n° 1",21733,https://bvmm.irht.cnrs.fr/iiif/33067/manifest
1097,"Archives départementales des Pyrénées-Atlantiques, E Suppl. 1370bis",21735,https://bvmm.irht.cnrs.fr/iiif/31311/manifest
1102,"Centre historique des Archives nationales, LL 0077",12353,https://bvmm.irht.cnrs.fr/iiif/33632/manifest
1105,"Bibliothèque nationale de France, Coll. Périgord 011",21742,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034986c/manifest.json
1108,"Archives départementales de la Gironde, J(004) 0068",21745,https://bvmm.irht.cnrs.fr/iiif/31618/manifest
1117,"Bibliothèque nationale de France, Coll. Baluze 017",21753,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90012165/manifest.json|https://gallica.bnf.fr/iiif/ark:/12148/btv1b9001367t/manifest.json
1118,"Bibliothèque nationale de France, fr. 20685",21754,https://gallica.bnf.fr/iiif/ark:/12148/btv1b107210586/manifest.json
1119,"Archives départementales de la Vienne, H(001) 0001, liasse 13",21755,https://bvmm.irht.cnrs.fr/iiif/33487/manifest
1155,"Bibliothèque nationale de France, fr. 31926",21788,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90638420/manifest.json
1157,"Bibliothèque municipale de Cambrai, 1144 (1022)",12358,https://bvmm.irht.cnrs.fr/iiif/31737/manifest
1168,"Bibliothèque municipale de Cambrai, 1145 (1022)",12359,https://bvmm.irht.cnrs.fr/iiif/31738/manifest
1169,"Bibliothèque nationale de France, fr. 04900",21800,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90606691/manifest.json
1172,"Bibliothèque nationale de France, Coll. Baluze 058",21803,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9001307j/manifest.json
1180,"Archives départementales de la Côte-d'Or, H(011) 0069* (cart. 172)",12360,https://bvmm.irht.cnrs.fr/iiif/32783/manifest
1181,"Bibliothèque nationale de France, lat. 13818",21810,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10509623k/manifest.json
